gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000289056	1.2386	2.45523	2.14429	0.64164	2.04581	2.5083	0.97951	1.46573	2.44559	2.67788	15.61417	0.44873	0.43594	1.02934	0.30332	0.99999
ENSG00000286656	0.88471	1.50042	0.09323	0	0.54555	0.4645	0.76184	0.85501	0.69874	0.81148	5.52483	0.17385	0.77988	0.22291	0.8236	0.99999
ENSG00000248309	2.12331	1.36402	1.21199	1.28329	0.81832	0.6503	1.08835	1.46573	0.93165	1.29836	10.27102	-0.27146	0.43658	-0.62179	0.53408	0.99999
ENSG00000237187	107.22703	68.47362	14.82354	26.3074	29.86876	18.02263	42.5544	36.39892	75.46403	52.66488	395.90775	-0.28902	0.51043	-0.56624	0.57123	0.99999
ENSG00000278970	5.8391	7.22929	13.98447	6.89767	15.68451	12.16992	8.59795	11.11511	6.7545	7.3033	79.60707	0.17606	0.31254	0.56333	0.57321	0.99999
ENSG00000177738	20.52531	15.54979	8.48391	13.1537	12.41122	10.40482	10.44814	10.74867	14.67356	12.49675	108.14108	-0.23495	0.24701	-0.95118	0.34151	0.99999
ENSG00000271918	3.89273	4.36485	3.4495	3.52904	3.81884	2.78701	2.5032	2.32074	2.56205	4.21968	28.1385	-0.26724	0.29009	-0.92126	0.35692	0.99999
ENSG00000280780	179.59643	139.94807	73.18539	76.51604	67.78436	64.37982	75.85784	63.75918	97.59083	85.12398	773.50913	-0.16572	0.32304	-0.513	0.60795	0.99999
ENSG00000247516	5.66215	4.50125	4.28857	5.93521	3.00051	1.9509	2.72087	5.13005	3.14433	4.95001	34.82446	-0.27851	0.36094	-0.77163	0.44033	0.99999
ENSG00000248925	1.94637	1.50042	1.77137	1.4437	1.77303	1.6722	2.61203	1.46573	1.39748	1.8664	14.67263	-0.36084	0.33727	-1.06987	0.28468	0.99999
ENSG00000289112	1.76942	0.68201	0.9323	0.80205	0.54555	0.8361	1.19718	1.46573	0.11646	0.97377	7.78284	-0.43013	0.57816	-0.74397	0.4569	0.99999
ENSG00000272523	0.70777	1.22761	1.11876	1.28329	1.0911	1.0219	1.19718	0.36643	0.93165	0.64918	8.084	-0.10569	0.48484	-0.218	0.82743	0.99999
ENSG00000247796	1.59248	1.09121	2.33074	3.04781	1.50026	1.3935	1.95903	1.58787	3.14433	3.24591	17.82835	-0.31489	0.43805	-0.71885	0.47223	0.99999
ENSG00000281357	13.62456	9.00251	4.00888	7.21849	4.36439	4.36631	3.48271	4.03075	8.26844	5.59919	53.64428	-0.22278	0.4202	-0.53018	0.59599	0.99999
ENSG00000245937	21.58696	14.73138	17.5272	15.88069	22.36747	18.95163	14.25736	17.22231	21.66097	13.63282	148.64656	0.02039	0.18127	0.11251	0.91042	0.99999
ENSG00000247828	110.58893	65.06357	61.81135	55.18138	164.75554	144.55266	66.71572	156.95506	95.96044	70.59853	821.33725	0.14307	0.34214	0.41817	0.67582	0.99999
ENSG00000250155	2.83108	3.00084	1.39845	0.96247	4.77355	2.3225	1.08835	1.71002	1.6304	0.40574	16.51685	0.02519	0.58104	0.04335	0.96542	0.99999
ENSG00000224032	79.97792	56.47027	33.84241	29.35521	36.68811	30.00675	31.23558	34.93319	33.88894	26.04842	326.55419	-0.11705	0.3112	-0.37613	0.70682	0.99999
ENSG00000131732	21.23308	23.59748	24.70589	29.99685	22.36747	21.64574	20.46094	19.4209	19.33184	29.13204	195.84292	-0.23696	0.19288	-1.22857	0.21923	0.99999
ENSG00000286721	1.59248	0.81841	0.55938	0.16041	1.77303	1.5793	1.19718	1.34358	1.51394	0.56803	9.17723	0.13582	0.56376	0.24093	0.80961	0.99999
ENSG00000145687	82.63205	67.1096	83.44066	69.29755	89.60628	78.96514	76.29318	76.5843	79.54002	68.24525	646.61434	-0.03567	0.09891	-0.36059	0.7184	0.99999
ENSG00000113558	30.08019	21.68786	24.14652	23.90124	37.09727	32.88666	28.62355	33.71175	31.21043	21.66645	238.07649	-0.00692	0.17976	-0.03852	0.96927	0.99999
ENSG00000113575	24.77192	26.32551	27.68925	27.91151	32.73289	31.95766	28.07937	33.71175	29.46358	25.23695	241.3308	0.06043	0.12426	0.4863	0.62675	0.99999
ENSG00000206077	1.06165	2.72803	2.05106	1.12288	4.228	3.25151	3.26504	3.29789	1.04811	1.46066	19.5066	0.10143	0.47818	0.21212	0.83201	0.99999
ENSG00000253333	0.17694	0	0	0	1.90942	1.3006	0.87068	0.97715	0.58228	0.56803	5.26033	-0.33329	1.20079	-0.27756	0.78135	0.99999
ENSG00000133302	58.5679	28.37154	43.35185	53.89809	37.37005	31.49316	26.55569	29.80314	37.4991	40.33043	325.9614	-0.38012	0.24163	-1.57316	0.11568	0.99999
