gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000137970	0.88471	0.95481	0.83907	0.96247	0.27277	0.5574	1.19718	0.48858	0.93165	1.05492	6.92564	-0.19573	0.71916	-0.27216	0.7855	NA
ENSG00000130764	45.47417	55.78826	59.20092	61.43741	60.14668	63.54372	71.06911	69.74423	57.64614	64.83704	512.5449	-0.0217	0.1496	-0.14502	0.88469	0.99924
ENSG00000272153	12.38596	13.64016	5.96671	4.3311	3.1369	4.55211	3.80922	4.03075	3.49371	3.40821	48.85762	0.2073	0.29486	0.70304	0.48203	NA
ENSG00000284770	36.98094	25.2343	17.5272	8.66219	15.27535	16.90783	10.3393	15.14586	11.29631	7.46559	136.18273	0.29537	0.23595	1.25184	0.21063	0.99924
ENSG00000198837	14.86315	12.68535	25.63819	21.17425	28.09573	23.87534	16.54289	28.70384	18.51664	18.09595	174.17804	0.08906	0.20176	0.44144	0.65889	0.99924
ENSG00000160741	7.25463	4.91046	9.50944	6.89767	11.32012	11.89122	10.77464	11.11511	8.26844	10.14347	77.19643	-0.08951	0.2506	-0.35718	0.72096	0.99924
ENSG00000282386	4.95438	2.86443	2.42397	1.4437	2.45497	2.0438	2.06786	2.07645	2.91142	1.21722	20.31917	0.13174	0.45909	0.28697	0.77414	NA
ENSG00000273026	3.89273	1.63682	1.77137	1.28329	1.90942	1.3935	0.65301	1.71002	0.8152	1.21722	13.47769	-0.16281	0.55641	-0.2926	0.76983	NA
ENSG00000143578	19.64059	12.41255	11.09435	11.54959	9.81987	10.03322	7.8361	9.52723	8.61781	8.03363	90.65239	-0.10732	0.23393	-0.45877	0.6464	0.99924
ENSG00000143543	4.42356	2.31883	3.82242	2.56658	2.04581	3.43731	2.8297	3.78646	4.07599	3.00247	27.0924	0.21949	0.39624	0.55393	0.57963	NA
ENSG00000285641	1.76942	1.63682	1.02553	0.48123	1.36387	1.2077	1.08835	0.85501	0.8152	1.21722	9.55188	-0.10409	0.60913	-0.17088	0.86432	NA
ENSG00000143545	19.10977	19.77824	17.71366	13.1537	6.95574	7.43201	14.36619	10.62653	14.90648	10.95494	113.59711	0.077	0.22514	0.34201	0.73234	0.99924
ENSG00000177954	205.43001	186.18822	181.23872	178.53743	131.88627	143.53076	167.60557	162.20725	154.30532	140.71018	1387.13197	-0.02516	0.12083	-0.20819	0.83508	0.99924
ENSG00000162642	26.71829	19.09623	19.29857	17.80562	16.91199	18.85873	19.15492	18.68803	19.68121	18.50168	163.32087	-0.07299	0.18791	-0.38841	0.69771	0.99924
ENSG00000223653	13.62456	11.73054	5.68702	5.93521	8.86516	8.26812	4.46223	7.32864	4.42536	3.48935	61.08818	0.08488	0.27294	0.31096	0.75583	0.99924
ENSG00000116198	36.09623	33.00919	34.96117	28.55316	39.9614	39.38967	36.78616	33.46746	34.93705	32.13451	292.61102	-0.01764	0.15618	-0.11293	0.91009	0.99924
ENSG00000169598	4.77744	7.09288	8.01776	5.61438	8.72877	7.61781	9.14212	8.18365	5.00764	5.68034	58.47286	0.04964	0.28254	0.1757	0.86053	0.99924
ENSG00000162836	11.32431	10.91213	11.00112	8.50178	12.13845	12.63442	9.57746	14.16871	17.35207	12.17216	100.48571	0.25311	0.21825	1.15971	0.24617	0.99924
ENSG00000116667	63.87617	52.51463	42.41956	42.66932	45.55327	48.49389	49.19332	63.2706	46.00045	48.4452	420.75479	-0.0239	0.14955	-0.15985	0.873	0.99924
ENSG00000285847	4.6005	1.36402	0.46615	0.16041	1.36387	0.929	0.43534	1.46573	0.8152	0.24344	9.63717	0.35101	0.72955	0.48113	0.63042	NA
ENSG00000284726	6.72381	3.81925	2.33074	0.32082	5.31909	3.99471	0.97951	2.32074	2.91142	0.89263	24.22324	0.69352	0.51196	1.35464	0.17553	NA
ENSG00000177301	4.42356	12.00334	14.35739	5.13315	28.23212	28.70615	10.0128	21.74163	8.85072	5.92379	114.70124	0.84915	0.26008	3.26494	0.00109	0.13366
ENSG00000225855	295.49363	257.66267	89.31414	71.38289	74.33094	82.86695	77.16386	93.68446	88.62366	76.68461	1001.9156	0.1094	0.12813	0.85381	0.39321	0.99924
ENSG00000237872	3.18496	0.54561	0.18646	0.48123	1.50026	1.0219	0.21767	0.85501	0.34937	0	6.76366	-0.08491	0.90958	-0.09335	0.92562	NA
ENSG00000160752	107.58092	102.71042	104.23091	85.49906	96.97118	107.8571	103.71955	130.44981	103.41368	101.11008	874.72566	0.1048	0.12669	0.82719	0.40813	0.99924
